Log: /Users/johntang/Desktop/clients/baam-local/tmp/corridor_pipeline_20260402_230037.log
=== discover lower-east-side-ny ===
🇨🇳 Discover Chinese Businesses — lower-east-side-ny
   Mode: ✅ APPLY
   Queries: 124 × 5 zones = 620 searches

📊 Existing businesses: 8426


📍 Zone: East Village core (40.729, -73.987)
  [347/620] 曼哈顿东村华人美发            → 20 results, 0 new
  [348/620] 曼哈顿东村理发              → 20 results, 2 new
  [349/620] 曼哈顿东村美甲              → 20 results, 2 new
  [350/620] 曼哈顿东村美容              → 20 results, 1 new
  [351/620] 曼哈顿东村按摩              → 20 results, 0 new
  [352/620] 曼哈顿东村SPA             → 20 results, 2 new
  [353/620] 曼哈顿东村纹眉              → 18 results, 0 new
  [354/620] 曼哈顿东村医美              → 20 results, 0 new
  [355/620] 曼哈顿东村华人修车            → 20 results, 0 new
  [356/620] 曼哈顿东村汽车维修            → 20 results, 1 new
  [357/620] 曼哈顿东村车行              → 20 results, 0 new
  [358/620] 曼哈顿东村旅行社             → 20 results, 1 new
  [359/620] 曼哈顿东村快递              → 4 results, 0 new
  [360/620] 曼哈顿东村寄包裹             → 17 results, 0 new
  [361/620] 曼哈顿东村摄影              → 14 results, 0 new
  [362/620] 曼哈顿东村婚纱照             → 20 results, 1 new
  [363/620] 曼哈顿东村翻译              → 5 results, 0 new
  [364/620] 曼哈顿东村印刷              → 20 results, 0 new
  [365/620] 曼哈顿东村裁缝              → 20 results, 1 new
  [366/620] 曼哈顿东村宠物              → 20 results, 1 new
  [367/620] 曼哈顿东村洗衣              → 20 results, 2 new
  [368/620] 曼哈顿东村修手机             → 20 results, 0 new
  [369/620] 曼哈顿东村珠宝              → 20 results, 0 new
  [370/620] 曼哈顿东村老人日托            → 3 results, 0 new
  [371/620] 曼哈顿东村教会              → 20 results, 0 new
  [372/620] 曼哈顿东村寺庙              → 20 results, 1 new

📍 Zone: Ave B corridor (40.724, -73.981)
  [373/620] 曼哈顿东村中餐              → 20 results, 0 new
  [374/620] 曼哈顿东村川菜              → 20 results, 0 new
  [375/620] 曼哈顿东村粤菜              → 20 results, 1 new
  [376/620] 曼哈顿东村东北菜             → 20 results, 0 new
  [377/620] 曼哈顿东村湘菜              → 20 results, 0 new
  [378/620] 曼哈顿东村上海菜             → 20 results, 0 new
  [379/620] 曼哈顿东村北京菜             → 20 results, 0 new
  [380/620] 曼哈顿东村江浙菜             → 13 results, 0 new
  [381/620] 曼哈顿东村客家菜             → 8 results, 0 new
  [382/620] 曼哈顿东村云南菜             → 19 results, 0 new
  [383/620] 曼哈顿东村福建菜             → 12 results, 0 new
  [384/620] 曼哈顿东村台湾菜             → 18 results, 0 new
  [385/620] 曼哈顿东村小吃              → 20 results, 0 new
  [386/620] 曼哈顿东村火锅              → 13 results, 0 new
  [387/620] 曼哈顿东村麻辣烫             → 9 results, 0 new
  [388/620] 曼哈顿东村串串香             → 1 results, 0 new
  [389/620] 曼哈顿东村烧烤              → 20 results, 1 new
  [390/620] 曼哈顿东村烤肉              → 20 results, 0 new
  [391/620] 曼哈顿东村饺子              → 20 results, 0 new
  [392/620] 曼哈顿东村面馆              → 20 results, 0 new
  [393/620] 曼哈顿东村拉面              → 20 results, 0 new
  [394/620] 曼哈顿东村米粉              → 20 results, 0 new
  [395/620] 曼哈顿东村螺蛳粉             → 7 results, 0 new
  [396/620] 曼哈顿东村早茶              → 7 results, 0 new
  [397/620] 曼哈顿东村点心              → 4 results, 0 new
  [398/620] 曼哈顿东村小笼包             → 20 results, 0 new
  [399/620] 曼哈顿东村包子              → 20 results, 0 new
  [400/620] 曼哈顿东村奶茶              → 20 results, 0 new
  [401/620] 曼哈顿东村茶饮              → 20 results, 1 new
  [402/620] 曼哈顿东村甜品              → 20 results, 0 new
  [403/620] 曼哈顿东村蛋糕              → 20 results, 0 new
  [404/620] 曼哈顿东村面包店             → 20 results, 0 new
  [405/620] 曼哈顿东村咖啡              → 20 results, 0 new
  [406/620] 曼哈顿东村日料              → 20 results, 3 new
  [407/620] 曼哈顿东村韩餐              → 20 results, 1 new
